"dynasty","name","portrait_url","reign_start_year","reign_length_days","succession","fate","hint","description","birthplace","religion","hide"
"Nerva-Antonine dynasty","Hadrian","https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/%D0%9F%D1%83%D0%B1%D0%BB%D0%B8%D0%B9_%D0%AD%D0%BB%D0%B8%D0%B9_%D0%90%D0%B4%D1%80%D0%B8%D0%B0%D0%BD%D0%BD%D1%8B%D2%A3_%D0%B1%D1%8C%D1%8E%D1%81%D1%82%D1%8B.jpg/200px-%D0%9F%D1%83%D0%B1%D0%BB%D0%B8%D0%B9_%D0%AD%D0%BB%D0%B8%D0%B9_%D0%90%D0%B4%D1%80%D0%B8%D0%B0%D0%BD%D0%BD%D1%8B%D2%A3_%D0%B1%D1%8C%D1%8E%D1%81%D1%82%D1%8B.jpg","117","7629","Adopted heir","Natural causes","He never recovered from the drowning of a lover.","Hadrian spent much of his reign traveling the empire and commissioned the famous wall in northern Britain that bears his name. He was devastated by the drowning of his beloved companion Antinous in the Nile in 130 AD.","Hispania","Pagan","false"
"Nerva-Antonine dynasty","Antoninus Pius","https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Marble_portrait_of_the_emperor_Antoninus_Pius_%28cropped%29.jpg/200px-Marble_portrait_of_the_emperor_Antoninus_Pius_%28cropped%29.jpg","138","8265","Adopted heir","Natural causes","Was given his cognomen for his piety to his disliked predecessor.","Antoninus Pius earned his cognomen by persuading the Senate to deify his predecessor Hadrian. His 23-year reign was one of the most peaceful in Roman history, notable for its stability and lack of major military conflict.","Italia","Pagan","false"
"Nerva-Antonine dynasty","Marcus Aurelius","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Metropolitan_Marcus_Aurelius_Roman_2C_AD_2.JPG/200px-Metropolitan_Marcus_Aurelius_Roman_2C_AD_2.JPG","161","6945","Adopted heir","Natural causes","A philosopher on a frozen frontier.","Marcus Aurelius was a Stoic philosopher-emperor who wrote his famous Meditations in Greek during campaigns along the Danube. He broke the tradition of adoptive succession by passing power to his biological son Commodus, a decision widely criticized by historians.","Rome","Pagan","false"
"Nerva-Antonine dynasty","Lucius Verus","https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Lucius_Verus_bust_%28crop%29.png/200px-Lucius_Verus_bust_%28crop%29.png","161","2885","Adopted heir","Natural causes","Overshadowed by a stoic.","Lucius Verus served as co-emperor alongside Marcus Aurelius, the first time imperial power was formally shared between equals. He oversaw the Parthian War but his returning armies brought the devastating Antonine Plague back to the empire.","Rome","Pagan","false"
"Nerva-Antonine dynasty","Commodus","https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Commodus_Musei_Capitolini_MC1120_%28cropped_enhanced%29.jpg/200px-Commodus_Musei_Capitolini_MC1120_%28cropped_enhanced%29.jpg","180","4664","Dynastic succession","Murdered","Renamed everything from months to the city after himself.","Commodus was the son of Marcus Aurelius and the last of the Nerva-Antonine dynasty, ending the era of adoptive succession. He became obsessed with gladiatorial combat, personally fought in the arena, and renamed Rome and the months of the year after himself before being assassinated.","Italia","Pagan","false"
"Year of the Five Emperors","Pertinax","https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Galleria_degli_Uffizi%2C_Florence_%28cropped%29.jpg/200px-Galleria_degli_Uffizi%2C_Florence_%28cropped%29.jpg","180","87","Appointed","Murdered","From classroom to throne in a lifetime, then back to nothing in under ninety days.","Pertinax was a former schoolteacher who rose through the military to become emperor after Commodus's assassination. He lasted only 87 days before the Praetorian Guard, unhappy with his fiscal discipline, murdered him.","Italia","Pagan","false"
"Year of the Five Emperors","Didius Julianus","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Lyon_5e_-_Mus%C3%A9e_Lugdunum_-_EnQu%C3%AAte_de_pouvoir_-_Buste_de_Didius_Iulianus_01_%28cropped%29.jpeg/200px-Lyon_5e_-_Mus%C3%A9e_Lugdunum_-_EnQu%C3%AAte_de_pouvoir_-_Buste_de_Didius_Iulianus_01_%28cropped%29.jpeg","180","64","Purchased","Murdered","Quite literally bought the empire.","Didius Julianus was a wealthy senator who purchased the throne at an auction held by the Praetorian Guard after Pertinax's murder. His legitimacy was never accepted by the provincial armies, and he was abandoned and killed within weeks.","Italia","Pagan","false"
"Severan dynasty","Septimius Severus","https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Septimius_Severus_Glyptothek_Munich_357_%28cropped%29.jpg/200px-Septimius_Severus_Glyptothek_Munich_357_%28cropped%29.jpg","193","6501","Usurped","Natural causes","Began a dynasty whose only competent Emperor was himself.","Septimius Severus was born in Leptis Magna in North Africa and won a civil war to establish the Severan dynasty. He died at York in Britain in 211 AD, reportedly advising his sons to enrich the soldiers and disregard everyone else.","Africa","Pagan","false"
"Severan dynasty","Geta","https://upload.wikimedia.org/wikipedia/commons/2/23/Geta_%28cropped%29.jpg","211","322","Dynastic succession","Murdered","Murdered by his brother, in the hands of their Mother.","Geta briefly co-ruled with his brother Caracalla, who had him murdered in their mother Julia Domna's arms during a reconciliation meeting. Caracalla then subjected Geta's memory to damnatio memoriae, erasing his name and image from public records.","Rome","Pagan","false"
"Severan dynasty","Caracalla","https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Caracalla_Musei_Capitolini_MC2310.jpg/200px-Caracalla_Musei_Capitolini_MC2310.jpg","211","2254","Dynastic succession","Murdered","Murdered his brother, in the hands of their Mother.","Caracalla extended Roman citizenship to nearly all free inhabitants of the empire through the Constitutio Antoniniana in 212 AD. He was obsessed with Alexander the Great and built the enormous Baths of Caracalla in Rome, whose ruins still partially stand.","Gallia","Pagan","false"
"Severan dynasty","Macrinus","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Bust_of_Macrinus_-_Palazzo_Nuovo_-_Musei_Capitolini_-_Rome_2016.jpg/200px-Bust_of_Macrinus_-_Palazzo_Nuovo_-_Musei_Capitolini_-_Rome_2016.jpg","217","423","Appointed","Executed","Lost his throne to a teenage priest backed by scheming women.","Macrinus was the first emperor who had never been a senator, having served as Praetorian prefect under Caracalla. He was suspected of orchestrating Caracalla's assassination and was overthrown after barely a year by the Severan women's candidate, Elagabalus.","Africa","Pagan","false"
"Severan dynasty","Elagabalus","https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Bust_of_Elagabalus_-_Palazzo_Nuovo_-_Musei_Capitolini_-_Rome_2016_%282%29_%28cropped%29.jpg/200px-Bust_of_Elagabalus_-_Palazzo_Nuovo_-_Musei_Capitolini_-_Rome_2016_%282%29_%28cropped%29.jpg","218","1390","Usurped","Murdered","A sexually debauched foreign prince who believed himself to be a god.","Elagabalus was a teenage Syrian priest of the sun god El-Gabal, installed as emperor through the political machinations of his grandmother Julia Maesa. His religious practices and personal behavior scandalized Rome, and he was murdered by the Praetorian Guard at about eighteen.","Syria","Pagan","false"
"Severan dynasty","Severus Alexander","https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Bust_Alexander_Severus_Louvre_Ma1051_n2_%28cropped%29.jpg/200px-Bust_Alexander_Severus_Louvre_Ma1051_n2_%28cropped%29.jpg","222","4745","Adopted heir","Murdered","His mother ran everything, and his soldiers despised him for preferring diplomacy to fighting.","Severus Alexander became emperor as a teenager, with his mother Julia Mamaea and grandmother Julia Maesa dominating the government. His attempt to negotiate with Germanic tribes rather than fight them led to a military mutiny that cost him his life in 235 AD.","Syria","Pagan","false"
"Crisis of the Third Century","Maximinus Thrax","https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Maximinus_Thrax_Musei_Capitolini_MC473_%28cropped%29.jpg/200px-Maximinus_Thrax_Musei_Capitolini_MC473_%28cropped%29.jpg","235","1185","Usurped","Murdered","A giant who was killed by his own men at a siege.","Maximinus Thrax was reputedly a Thracian peasant of enormous physical size who rose through the army to become emperor. He was the first emperor never to set foot in Rome and was killed by his own soldiers during the siege of Aquileia.","Thrace","Pagan","false"
"Crisis of the Third Century","Gordian I","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Gordian1cng80000719_%28obverse%29.jpg/200px-Gordian1cng80000719_%28obverse%29.jpg","235","22","Usurped","Suicide","Pushed into the job in his late seventies, he lasted three weeks before tragic news ended him.","Gordian I was an elderly proconsul in his late seventies reluctantly proclaimed emperor during a revolt in Africa. When his son Gordian II was killed in battle, he committed suicide after a reign of only about three weeks.","Italia","Pagan","false"
"Crisis of the Third Century","Gordian II","https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Gordiano_II_-_ritratto_da_sesterzio.jpg/200px-Gordiano_II_-_ritratto_da_sesterzio.jpg","235","22","Usurped","Killed in battle","He did the actual fighting while his ancient father held the title, and his death ended both.","Gordian II was co-emperor with his elderly father Gordian I in Africa, leading their forces in the field. He was killed in battle against the governor of Numidia, and his death triggered his father's immediate suicide.","Italia","Pagan","false"
"Crisis of the Third Century","Pupienus","https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Pupienus_Musei_Capitolini_MC477_%28cropped%29.jpg/200px-Pupienus_Musei_Capitolini_MC477_%28cropped%29.jpg","235","99","Usurped","Murdered","A man with an unfortunate name, whose reign lasted 99 days.","Pupienus was an experienced senator and military man chosen jointly with Balbinus by the Senate to oppose Maximinus Thrax. The two co-emperors despised each other and were both murdered by the Praetorian Guard after only 99 days.","Italia","Pagan","false"
"Crisis of the Third Century","Balbinus","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Ritratto_di_balbino%2C_238_%28cropped_enhanced%29.jpg/200px-Ritratto_di_balbino%2C_238_%28cropped_enhanced%29.jpg","235","99","Usurped","Murdered","An orator forced to share power with a soldier he despised, with predictable results.","Balbinus was a nobleman and orator chosen jointly with Pupienus by the Senate as co-emperor. The two could not cooperate, and both were murdered by the Praetorian Guard after only 99 days in power.","Italia","Pagan","false"
"Crisis of the Third Century","Gordian III","https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Bust_Gordianus_III_Louvre_Ma1063_%28cropped%29.jpg/200px-Bust_Gordianus_III_Louvre_Ma1063_%28cropped%29.jpg","238","2005","Dynastic succession","Murdered","A boy ruler whose father-in-law ran everything until both died far from home.","Gordian III became emperor at about thirteen years old, with his father-in-law Timesitheus serving as chief minister and Praetorian prefect. He died under mysterious circumstances during a campaign against Persia, possibly at the instigation of Philip the Arab.","Rome","Pagan","false"
"Crisis of the Third Century","Philip I","https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Portrait_of_Philip_the_Arab._Saint-Petersburg_%28head%29.jpg/200px-Portrait_of_Philip_the_Arab._Saint-Petersburg_%28head%29.jpg","244","2065","Usurped","Killed in battle","He threw the city its thousandth birthday party.","Philip the Arab was born in the province of Arabia and rose to power after the mysterious death of Gordian III. He presided over the celebration of Rome's one thousandth anniversary in 248 AD before being killed in battle against the usurper Decius.","Arabia","Pagan","false"
"Crisis of the Third Century","Decius","https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Emperor_Traianus_Decius_%28Mary_Harrsch%29_enhanced_%28cropped%29.jpg/200px-Emperor_Traianus_Decius_%28Mary_Harrsch%29_enhanced_%28cropped%29.jpg","249","635","Usurped","Killed in battle","Sent to stop a rebellion, he joined it instead, then made history by dying on a foreign battlefield.","Decius was a senator sent to suppress a revolt but was proclaimed emperor by the very troops he was meant to discipline. He initiated the first empire-wide persecution of Christians and became the first Roman emperor to die in battle against a foreign enemy, falling to the Goths at the Battle of Abritus.","Illyricum","Pagan","false"
"Crisis of the Third Century","Trebonianus Gallus","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Bronze_statue_of_the_emperor_Trebonianus_Gallus_%28detail%29_%28cropped%29.jpg/200px-Bronze_statue_of_the_emperor_Trebonianus_Gallus_%28detail%29_%28cropped%29.jpg","251","790","Usurped","Murdered","He inherited a disaster on the battlefield and made a peace deal his own men never forgave.","Trebonianus Gallus took power on the battlefield after both Decius and Herennius Etruscus died fighting the Goths at Abritus. He made an unpopular peace treaty with the Goths and was killed by his own soldiers when the general Aemilianus marched against him.","Italia","Pagan","false"
"Crisis of the Third Century","Hostilian","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Sestertius_Hostilian-s2771_%28obverse%29.jpg/200px-Sestertius_Hostilian-s2771_%28obverse%29.jpg","251","30","Dynastic succession","Unknown","A forgotten son who vanished from the record within weeks, probably taken by plague.","Hostilian was the son of Decius who was briefly recognized as co-emperor under Trebonianus Gallus. He died within weeks, most likely from plague, making his one of the least documented reigns in Roman history.","Illyricum","Pagan","true"
"Crisis of the Third Century","Aemilianus","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Aemilianus_RIC_IV_20_%28obverse%29.jpg/200px-Aemilianus_RIC_IV_20_%28obverse%29.jpg","251","60","Usurped","Murdered","One lucky victory made him ruler; two months later his luck ran out.","Aemilianus was a general on the Danube frontier whose victory against the Goths led his troops to proclaim him emperor. His reign lasted only about two months before his own soldiers killed him when Valerian approached with a larger army.","Africa","Pagan","false"
"Crisis of the Third Century","Valerian","https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Valerianus_Ny_Carlsberg_Glyptotek_IN3387.jpg/200px-Valerianus_Ny_Carlsberg_Glyptotek_IN3387.jpg","253","2460","Usurped","Executed","Legend says he was skinned after capture.","Valerian was an older senator who took power during a chaotic period and became the only Roman emperor captured alive by a foreign enemy. He was taken prisoner by the Sasanian king Shapur I after the Battle of Edessa and never returned.","Italia","Pagan","false"
"Crisis of the Third Century","Gallienus","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Ritratto_di_gallieno_dalla_casa_delle_vestali.jpg/200px-Ritratto_di_gallieno_dalla_casa_delle_vestali.jpg","253","5475","Dynastic succession","Murdered","Fifteen years of holding together something that was falling apart on every side.","Gallienus ruled for fifteen years during one of the most chaotic periods in Roman history, facing constant usurpers while large portions of the empire broke away. Despite these crises, he reformed the cavalry and patronized intellectual and artistic life.","Italia","Pagan","false"
"Crisis of the Third Century","Claudius Gothicus","https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Claudius_Gothicus%2C_Worcester_Art_Museum_%28cropped%29.jpg/200px-Claudius_Gothicus%2C_Worcester_Art_Museum_%28cropped%29.jpg","268","695","Usurped","Natural causes","A plague took him just as he'd earned a famous victory title.","Claudius II earned the title 'Gothicus' by defeating a large Gothic invasion at the Battle of Naissus in 268 AD. His reign was cut short by plague after less than two years, and he was later claimed as an ancestor by Constantine I.","Illyricum","Pagan","false"
"Crisis of the Third Century","Quintillus","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Aureus_Quintillus_%28obverse%29.jpg/200px-Aureus_Quintillus_%28obverse%29.jpg","268","27","Dynastic succession","Suicide","His brother's fame couldn't save him and was overthrown by a sun worshipper.","Quintillus was the brother of Claudius II who briefly claimed the throne after his brother's death from plague. He was quickly challenged by the general Aurelian and took his own life after a reign of only a few weeks.","Illyricum","Pagan","true"
"Crisis of the Third Century","Aurelian","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/5305_-_Brescia_-_S._Giulia_-_Ritratto_di_Claudio_II_il_Gotico_-_Foto_Giovanni_Dall%27Orto%2C_25_Giu_2011_%28cropped%29.jpg/200px-5305_-_Brescia_-_S._Giulia_-_Ritratto_di_Claudio_II_il_Gotico_-_Foto_Giovanni_Dall%27Orto%2C_25_Giu_2011_%28cropped%29.jpg","270","1915","Usurped","Murdered","The restorer of the world.","Aurelian reunified the Roman Empire by reconquering the breakaway Palmyrene Empire in the east and the Gallic Empire in the west. He built the Aurelian Walls around Rome and earned the title Restitutor Orbis (Restorer of the World).","Illyricum","Pagan","false"
"Crisis of the Third Century","Tacitus","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/P1150181_Louvre_empereur_Tacite_Ma1018_rwk_enhanced_%28cropped%29.jpg/200px-P1150181_Louvre_empereur_Tacite_Ma1018_rwk_enhanced_%28cropped%29.jpg","275","210","Usurped","Unknown","Shares his name with a famous writer, but had no one write much about him.","Tacitus was an elderly senator reportedly chosen by the Senate as emperor, a rare throwback to older traditions of senatorial authority. He shares his name with the famous historian Tacitus but was unrelated, and he died after about six months under unclear circumstances.","Italia","Pagan","false"
"Crisis of the Third Century","Florianus","https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Aureus_Florianus_Ticinum_%28obverse%29.jpg/200px-Aureus_Florianus_Ticinum_%28obverse%29.jpg","275","88","Dynastic succession","Murdered","The brother of a man who shares his name with a famous writer.","Florianus claimed the throne as the half-brother of Tacitus without waiting for Senate approval. He was abandoned by his own troops and killed after less than three months when the general Probus gathered a larger army in the east.","Italia","Pagan","true"
"Crisis of the Third Century","Probus","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Probus_Musei_Capitolini_MC493_%28cropped_enhanced%29.jpg/200px-Probus_Musei_Capitolini_MC493_%28cropped_enhanced%29.jpg","276","2280","Usurped","Murdered","His soldiers killed him for making them do farmwork between battles.","Probus was a career soldier from the Balkans who spent most of his reign campaigning against Germanic and other invasions along the frontiers. He was killed by his own soldiers, reportedly because he forced them to perform agricultural labor during peacetime.","Illyricum","Pagan","false"
"Crisis of the Third Century","Carus","https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Carusinc2955obverse.png/200px-Carusinc2955obverse.png","282","300","Usurped","Unknown","Allegedly struck down by lightning.","Carus was a Praetorian prefect who seized power and launched a successful invasion of the Sasanian Empire, capturing the capital Ctesiphon. He died mysteriously in his tent, with official accounts claiming he was struck by lightning.","Gallia","Pagan","false"
"Crisis of the Third Century","Carinus","https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Montemartini_-_Carino_cropped_%28cropped%29.JPG/200px-Montemartini_-_Carino_cropped_%28cropped%29.JPG","283","730","Dynastic succession","Killed in battle","His appetites reportedly got him killed mid-battle by one of his own wronged officers.","Carinus was left to govern the western provinces while his father Carus campaigned in Persia. He developed a terrible reputation and was killed at the Battle of the Margus, possibly by one of his own officers whose wife he had seduced.","Italia","Pagan","true"
"Crisis of the Third Century","Numerian","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Aureus_of_Numerian_%28obverse%29.jpg/200px-Aureus_of_Numerian_%28obverse%29.jpg","283","485","Dynastic succession","Unknown","Found dead in a sealed carriage while the army marched, with someone trying to cover it up.","Numerian accompanied his father Carus on the Persian campaign and was left in command of the eastern army after his father's sudden death. He was found dead in his litter while the army marched home, his death concealed for days by his father-in-law, the prefect Arrius Aper.","Italia","Pagan","true"
"Tetrarchy","Diocletian","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Head_of_Diocletian%2C_Getty_Museum_%28cropped%29.jpg/200px-Head_of_Diocletian%2C_Getty_Museum_%28cropped%29.jpg","284","7461","Usurped","Abdicated","Chose cabbages over power.","Diocletian rose from humble origins to create the Tetrarchy, a system of four co-emperors governing different parts of the empire. He is one of the very few Roman emperors to voluntarily abdicate, retiring to his palace at Split in Dalmatia.","Illyricum","Pagan","false"
"Tetrarchy","Maximian","https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Mus%C3%A9e_Saint-Raymond_-_2017-09-02_-_Inv._Ra_34b_-_4654_%28cropped%29.jpg/200px-Mus%C3%A9e_Saint-Raymond_-_2017-09-02_-_Inv._Ra_34b_-_4654_%28cropped%29.jpg","286","6965","Appointed","Murdered","He couldn't accept retirement and kept coming back until it killed him.","Maximian was appointed co-emperor by Diocletian and given charge of the western half of the empire. After being forced to abdicate alongside Diocletian, he repeatedly attempted to reclaim power and was eventually killed after his final failed plot.","Illyricum","Pagan","false"
"Tetrarchy","Galerius","https://upload.wikimedia.org/wikipedia/commons/3/36/Portrait_of_Galerius%2C_Thessaloniki_%28head%29.jpg","305","2190","Appointed","Natural causes","A lifelong persecutor who reversed course on his deathbed.","Galerius served as junior co-emperor in the east and was one of the most aggressive promoters of the persecution of Christians. On his deathbed he issued a surprising edict of toleration, and he built a grand arch and palace complex in Thessaloniki.","Illyricum","Pagan","false"
"Tetrarchy","Constantius I","https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Constantius_Chlorus_Ny_Carlsberg_Glyptotek_IN836_%28cropped%29.jpg/200px-Constantius_Chlorus_Ny_Carlsberg_Glyptotek_IN836_%28cropped%29.jpg","305","449","Appointed","Natural causes","Died at a northern outpost where his famous son was waiting.","Constantius I (Chlorus) served as junior co-emperor governing Britain and Gaul, known for his relatively mild treatment of Christians during the Great Persecution. He died at York in 306 AD, where his son Constantine was immediately proclaimed emperor by the troops.","Illyricum","Pagan","false"
"Tetrarchy","Severus II","https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Severus_II_Aureus_Joanneum.jpg/200px-Severus_II_Aureus_Joanneum.jpg","306","240","Appointed","Murdered","His own army melted away when he tried to use it.","Severus II was appointed as junior co-emperor in the west but lacked a strong power base. When he marched against the usurper Maxentius in Rome, his own troops deserted him, and he was captured and eventually killed.","Illyricum","Pagan","false"
"Tetrarchy","Maxentius","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Portrait_of_Maxentius_%28SK_Dresden_Hm_406%29_01_%28cropped%29.jpg/200px-Portrait_of_Maxentius_%28SK_Dresden_Hm_406%29_01_%28cropped%29.jpg","306","2190","Usurped","Killed in battle","He drowned just outside the city at a bridge that became legendary.","Maxentius was the son of Maximian who seized power in Rome after being excluded from the Tetrarchic succession. He built a massive basilica in the Roman Forum but was defeated and drowned at the Battle of the Milvian Bridge in 312 AD.","Syria","Pagan","false"
